game_id,game_date,home_team_id,away_team_id,home_team,away_team,home_score,away_score
2025020376,,6,3,BOS,NYR,2,6
2025020377,,17,14,DET,TBL,3,6
2025020378,,30,21,MIN,COL,3,2
2025020379,,7,1,BUF,NJD,0,5
2025020380,,13,20,FLA,CGY,3,5
2025020381,,2,4,NYI,PHI,3,4
2025020382,,19,9,STL,OTT,4,3
2025020383,,54,8,VGK,MTL,1,4
2025020384,,24,26,ANA,LAK,5,4
2025020385,,28,23,SJS,VAN,3,2
2025020386,,15,10,WSH,TOR,4,2
2025020387,,12,52,CAR,WPG,5,1
2025020388,,29,5,CBJ,PIT,3,4
2025020389,,16,18,CHI,NSH,3,4
2025020390,,25,68,DAL,UTA,4,3
2025020391,,3,14,NYR,TBL,1,4
2025020392,,21,8,COL,MTL,7,2
2025020393,,55,22,SEA,EDM,0,4
2025020394,,6,17,BOS,DET,3,2
2025020395,,1,4,NJD,PHI,3,5
2025020396,,5,10,PIT,TOR,2,7
2025020397,,18,52,NSH,WPG,2,5
2025020398,,19,68,STL,UTA,1,0
2025020399,,30,7,MIN,BUF,2,3
2025020400,,54,28,VGK,SJS,4,3
2025020401,,26,23,LAK,VAN,2,1
2025020402,,2,15,NYI,WSH,1,4
2025020403,,16,24,CHI,ANA,5,3
2025020404,,12,20,CAR,CGY,1,0
2025020405,,25,9,DAL,OTT,6,1
2025020406,,1,29,NJD,CBJ,3,5
2025020407,,4,5,PHI,PIT,1,5
2025020408,,7,52,BUF,WPG,5,1
2025020409,,19,24,STL,ANA,1,4
2025020410,,28,68,SJS,UTA,6,3
2025020411,,8,9,MTL,OTT,2,5
2025020412,,17,6,DET,BOS,5,4
2025020413,,13,10,FLA,TOR,1,4
2025020414,,2,14,NYI,TBL,2,1
2025020415,,3,25,NYR,DAL,3,2
2025020416,,18,20,NSH,CGY,5,1
2025020417,,21,23,COL,VAN,3,1
2025020418,,22,30,EDM,MIN,0,1
2025020419,,54,16,VGK,CHI,4,3
2025020420,,26,15,LAK,WSH,1,3
2025020421,,1,25,NJD,DAL,0,3
2025020422,,8,52,MTL,WPG,3,2
2025020423,,4,7,PHI,BUF,5,2
2025020424,,24,68,ANA,UTA,0,7
2025020425,,28,15,SJS,WSH,1,7
2025020426,,6,19,BOS,STL,5,2
2025020427,,9,3,OTT,NYR,2,4
2025020428,,14,5,TBL,PIT,3,4
2025020429,,13,18,FLA,NSH,1,2
2025020430,,2,21,NYI,COL,6,3
2025020431,,12,10,CAR,TOR,1,5
2025020432,,29,17,CBJ,DET,6,5
2025020433,,20,30,CGY,MIN,4,1
2025020434,,22,55,EDM,SEA,9,4
2025020435,,26,16,LAK,CHI,1,2
2025020436,,1,54,NJD,VGK,0,3
2025020437,,52,7,WPG,BUF,4,1
2025020438,,25,28,DAL,SJS,4,1
2025020439,,23,68,VAN,UTA,1,4
2025020440,,24,15,ANA,WSH,4,3
2025020441,,3,21,NYR,COL,2,3
2025020442,,13,29,FLA,CBJ,7,6
2025020443,,6,1,BOS,NJD,4,1
